Model,AUC_mean,AUC_std,AUC_overall,Accuracy_mean,Accuracy_std,Accuracy_overall,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
LogisticRegression,0.9947849456775103,0.005632774132340871,0.9933143068548174,0.9648657040832169,0.01919729036954872,0.9648506151142355,0.9831768388106417,0.01381623750051386,0.934108527131783,0.0651648518185397
RandomForest,0.9906768561411535,0.00438277418529339,0.9891456582633054,0.9578481602235678,0.015043278411549494,0.9578207381370826,0.9748826291079812,0.02388676281644591,0.9295681063122924,0.05303765864053826
XGBoost,0.9929269631570646,0.005549762904110048,0.9914116590032238,0.9630957925787922,0.015085089089243005,0.9630931458699473,0.9748435054773082,0.01033160198392641,0.9435215946843855,0.052392774449712735
