Model,AUC_Mean,AUC_Std,Overall_accuracy,Overall_sensitivity,Overall_specificity,Overall_ppv,Overall_npv,Overall_f1_score,Overall_auc,Overall_hosmer_lemeshow_p_value,Overall_spiegelhalter_z_p_value
LogisticRegression,0.9947849456775103,0.005632774132340871,0.9648506151142355,0.9831932773109243,0.9339622641509434,0.9616438356164384,0.9705882352941176,0.9722991689750692,0.9933671581840283,0.6833565663420582,0.8687156301166934
RandomForest,0.9903989613824203,0.006196300385259922,0.9630931458699473,0.9775910364145658,0.9386792452830188,0.9640883977900553,0.961352657004831,0.9707927677329624,0.9889210401141588,,0.8702687131971667
XGBoost,0.9930614262664704,0.0049327392053002145,0.9630931458699473,0.9747899159663865,0.9433962264150944,0.9666666666666667,0.9569377990430622,0.9707112970711297,0.9918873209661224,0.9422849429585443,0.5665065810581686
