,(Intercept),`compactness error`,`concavity error`,`concave points error`,`worst radius`,`worst texture`,`worst perimeter`,`worst area`,`worst smoothness`,`worst compactness`,`worst concavity`,`worst concave points`,`worst symmetry`,`worst fractal dimension`
OR,0.0025095190230282785,54.26234776316296,38.60451750142563,0.0017362968989427215,34484.10554962467,0.11515825398578639,316.8755371891667,1.3139007053198716e-14,0.4485195834410727,0.16499707413953202,0.020557983800457515,13.744762708242442,0.4375300176048411,0.14665300056258176
X2.5..CI,1.1531438348216181e-05,0.670210452522566,1.2759957266222908,7.681059353766734e-06,0.000630149638244794,0.021033394972845627,0.0005577320581233155,6.442407246025192e-29,0.0631347161469988,0.00013019089069390727,1.2909800482533382e-05,0.3321681112914454,0.0639105626323304,0.0022007687094780944
X97.5..CI,0.09997884703718218,3162.968978502227,472579.61527614953,0.04838995275070342,221909943427405.22,0.3549718064777917,131463582.31532755,0.002135485319320145,2.451446291306214,146.3260615287075,2.1806635232930804,1062.3816263330527,2.0961957013805947,6.241356338921772
p_value,0.007189862004970263,0.05162116031831728,0.2646674706389694,0.0028942802169167276,0.29266860844010933,0.0016343561421457038,0.3583446684229462,0.02624050939853037,0.37657793258028444,0.5795074125373276,0.18878183848157254,0.18320708158569435,0.36324257688106565,0.3135131357456181
