feature,coefficient
Noneworst radius,-0.280628555928666
Noneconcave points error,-0.1086324263675885
Noneworst texture,-0.07342264050841536
Noneworst fractal dimension,-0.06542338276855533
Noneworst smoothness,-0.05890562802512288
Nonefractal dimension error,0.05477996403566387
Noneworst symmetry,-0.04592904144400092
Nonecompactness error,0.04060300827895571
Noneworst compactness,-0.015269635589409344
Nonesymmetry error,0.00331959048282387
