,OR,2.5% CI,97.5% CI,p_value
const,0.2176665306042838,0.08000416007123412,0.5922031867232972,0.0028275311340261017
Noneworst radius,0.00020032010443378598,7.41463983084896e-06,0.005412015304291367,4.1252632572424145e-07
Noneworst smoothness,0.19037294885755573,0.06985687657272792,0.5188016045777565,0.0011831795464065924
Noneworst texture,0.10566737747715207,0.033834588633457896,0.33000533223145695,0.00010972704724166989
Noneconcave points error,0.10004549032679541,0.02555575965295263,0.391657312114864,0.0009459147161943862
Nonecompactness error,4.39517525646563,1.3681848002050665,14.119120116048911,0.012902529592966318
Noneworst symmetry,0.42845039611393776,0.1689998026462483,1.0862127591618542,0.07414253645823522
