feature,variance,selected
radiomics_compactness error,1.0021978021978024,True
radiomics_fractal dimension error,1.0021978021978024,True
radiomics_worst fractal dimension,1.0021978021978024,True
radiomics_worst radius,1.0021978021978022,True
radiomics_symmetry error,1.0021978021978022,True
radiomics_worst smoothness,1.0021978021978022,True
radiomics_worst texture,1.002197802197802,True
radiomics_concave points error,1.002197802197802,True
radiomics_worst compactness,1.002197802197802,True
