Subject,Supervoxel,Habitats,Count,raw-T1,raw-T2,raw-T1-original,raw-T2-original
sub1,4,2,54,7.0,5.0,477.24074074074076,333.9074074074074
sub1,5,4,52,7.0,8.0,481.88461538461536,394.7307692307692
sub1,6,2,19,7.0,0.0,482.89473684210526,224.78947368421052
sub1,7,2,33,5.0,3.0,456.54545454545456,288.45454545454544
sub1,8,4,84,9.0,6.0,510.9047619047619,356.2738095238095
sub1,9,3,34,4.0,8.0,444.6470588235294,393.11764705882354
sub1,10,2,59,4.0,4.0,438.3050847457627,321.2542372881356
sub1,11,1,79,0.0,0.0,353.873417721519,197.43037974683546
sub1,12,1,40,0.0,2.0,377.4,281.625
sub1,13,1,35,4.0,0.0,436.74285714285713,222.2
sub1,14,4,42,7.0,9.0,482.76190476190476,445.1904761904762
sub1,15,3,15,0.0,6.0,389.1333333333333,355.6
sub1,16,1,50,3.0,3.0,423.3,298.32
sub1,17,2,61,6.0,4.0,459.0,314.0327868852459
sub1,18,4,54,5.0,9.0,453.6666666666667,424.1111111111111
sub1,19,4,79,9.0,7.0,509.59493670886076,379.54430379746833
sub1,20,2,40,7.0,4.0,482.925,309.825
sub1,21,4,45,5.0,7.0,452.75555555555553,373.15555555555557
sub1,22,2,26,8.0,2.0,485.8076923076923,274.7307692307692
sub1,23,3,59,5.0,6.0,449.08474576271186,349.3898305084746
sub1,24,3,14,1.0,8.0,397.42857142857144,400.7142857142857
sub1,25,2,31,9.0,5.0,520.8387096774194,324.5483870967742
sub1,26,2,59,8.0,5.0,493.8474576271187,339.6271186440678
sub1,27,1,24,2.0,0.0,414.5,210.08333333333334
sub1,28,4,55,6.0,6.0,469.9818181818182,361.8909090909091
sub1,29,1,25,0.0,4.0,384.04,308.52
sub1,30,1,46,0.0,1.0,371.9782608695652,247.52173913043478
sub1,31,3,39,2.0,6.0,416.71794871794873,343.53846153846155
sub1,32,3,24,3.0,8.0,426.125,394.375
sub1,33,2,31,5.0,2.0,448.51612903225805,261.61290322580646
sub1,34,2,50,7.0,3.0,471.72,295.9
sub1,35,1,37,1.0,0.0,396.2972972972973,235.59459459459458
sub1,36,1,38,1.0,3.0,404.44736842105266,291.3421052631579
sub1,37,3,38,4.0,7.0,437.1578947368421,365.6842105263158
sub1,38,4,55,6.0,8.0,465.3090909090909,389.8727272727273
sub1,39,4,65,8.0,7.0,485.2769230769231,363.9076923076923
sub1,40,2,26,6.0,0.0,461.8076923076923,215.69230769230768
sub1,41,1,38,3.0,4.0,418.7368421052632,318.2368421052632
sub1,42,4,41,6.0,9.0,466.8292682926829,439.3170731707317
sub1,43,2,29,7.0,2.0,471.82758620689657,261.2758620689655
sub1,44,2,68,6.0,5.0,461.0882352941176,335.52941176470586
sub1,45,1,48,3.0,2.0,422.7708333333333,267.2708333333333
sub1,46,4,43,8.0,9.0,496.3953488372093,431.8837209302326
sub1,47,1,43,4.0,3.0,440.90697674418607,297.04651162790697
sub1,48,3,34,4.0,9.0,436.44117647058823,419.52941176470586
sub1,49,1,23,1.0,4.0,398.7391304347826,322.0869565217391
sub1,50,3,42,4.0,5.0,434.0238095238095,339.8095238095238
sub21,1,1,127,3.0,2.0,1182.4173228346456,702.9055118110236
sub21,2,4,103,7.0,6.0,1273.6796116504854,924.0388349514564
sub21,3,1,115,0.0,1.0,1058.4260869565217,612.3826086956522
sub21,4,3,61,3.0,6.0,1157.655737704918,903.8360655737705
sub21,5,2,122,7.0,4.0,1284.549180327869,817.8032786885246
sub21,6,2,139,5.0,5.0,1214.294964028777,836.3525179856115
sub21,7,4,85,9.0,8.0,1357.1411764705883,1017.5176470588235
sub21,8,1,92,5.0,0.0,1222.3260869565217,571.9782608695652
sub21,9,3,47,3.0,9.0,1168.2553191489362,1124.8936170212767
sub21,10,1,69,1.0,3.0,1110.8115942028985,761.6666666666666
sub21,11,4,69,7.0,8.0,1292.695652173913,1006.4927536231884
sub21,12,2,103,8.0,4.0,1313.9320388349515,806.6990291262136
sub21,13,1,98,3.0,0.0,1159.7448979591836,534.9591836734694
sub21,14,4,91,9.0,7.0,1368.2307692307693,939.1428571428571
sub21,15,2,108,6.0,4.0,1260.4259259259259,780.6296296296297
